Localidad,nUPZ,Votos2v,Estrato,Cepeda2v,Swing,RetBog,MovBog,Indice,Desempeno
Santa Fe,2,34046,2.5,68,-4.3,3.1,2.3,1.44,Destacado
Candelaria,1,25234,2.6,64.9,-5.1,2.3,0.7,0.73,Sobre el promedio de Bogotá
Usaquén,7,268867,4.3,30.7,-5.7,1,1.4,0.57,Sobre el promedio de Bogotá
Mártires,2,46381,3,47.9,-7.3,-0.4,2.6,0.53,Sobre el promedio de Bogotá
Chapinero,4,92220,4.6,34.2,-5.6,1.3,0.9,0.5,Sobre el promedio de Bogotá
Usme,4,136613,1.8,72.1,-6.1,1.3,0.9,0.5,Sobre el promedio de Bogotá
Ciudad Bolívar,7,285330,1.7,69.8,-6.8,0.4,1.7,0.48,Sobre el promedio de Bogotá
Barrios Unidos,3,97278,3.5,42,-6.4,0.5,1.2,0.34,Sobre el promedio de Bogotá
Teusaquillo,5,89404,3.8,48.4,-4.1,3.1,-1.6,0.29,En el promedio de Bogotá
San Cristóbal,5,187377,2.3,69.3,-6.7,0.7,0.6,0.24,En el promedio de Bogotá
Bosa,5,327952,1.9,67.9,-6.4,0.8,0.2,0.16,En el promedio de Bogotá
Suba,10,571899,3.3,44,-6.5,0.4,0,-0.02,En el promedio de Bogotá
Rafael Uribe Uribe,5,175144,2.5,63.4,-7.5,-0.2,0.3,-0.09,En el promedio de Bogotá
Tunjuelito,2,102702,2.4,59.5,-8.3,-1.1,0.3,-0.35,Por debajo del promedio
Engativá,7,393055,2.8,50.4,-7.3,-0.4,-0.5,-0.4,Por debajo del promedio
Fontibon,5,188765,3.2,49.5,-7.4,-0.4,-0.6,-0.44,Por debajo del promedio
Puente Aranda,3,97452,3,46.8,-8.1,-1.1,0,-0.46,Por debajo del promedio
Antonio Nariño,3,98993,2.9,50.5,-8.6,-1.5,0.2,-0.53,Por debajo del promedio
Kennedy,10,804823,2.6,54.7,-8.5,-1.4,-1.5,-1,Rezagado
