UPZ,Localidad,Estrato,Votos2v,Cepeda2v,Swing,RetBog,MovBog,NivelBog,Indice,Desempeno
Las Nieves,Santa Fe,2.8,20213,62.8,-3,4.4,1.9,1.8,1.69,Destacado
Galerias,Teusaquillo,3.3,28852,51.2,-0.4,6.6,-0.3,6.4,1.65,Destacado
Ciudad Usme,Usme,1.7,11582,75.6,-5.9,1.6,4.3,-0.3,1.58,Destacado
El Refugio,Chapinero,6,19013,13.1,-4.4,2.4,3.3,0.6,1.54,Destacado
El Tesoro,Ciudad Bolívar,1.3,26038,74.2,-5.7,1.5,3.1,1,1.23,Destacado
Santa Barbara,Usaquén,5.8,35717,12.9,-4.9,1.8,2.7,-0.3,1.19,Destacado
Upr Rio Tunjuelo,Ciudad Bolívar,1.4,5714,73.3,-9.1,-1.7,6.1,-2.5,1.17,Destacado
Chico Lago,Chapinero,4.8,34224,26.9,-4.7,2,2.3,0.9,1.14,Destacado
Usaquen,Usaquén,4.9,40520,23.6,-5.4,1.3,2.8,0.9,1.07,Destacado
Lourdes,Santa Fe,2,13833,75.6,-6.2,1.3,2.8,1.7,1.06,Destacado
Alfonso Lopez,Usme,1,14570,74.4,-4.7,2.4,1.6,0.3,1.02,Destacado
Lucero,Ciudad Bolívar,1.3,58857,72.5,-7,0.2,3.5,0,0.97,Destacado
Los Alcazares,Barrios Unidos,3.3,28785,44.1,-5.5,1.3,2.3,1,0.92,Destacado
Country Club,Usaquén,5.5,34249,19.3,-4.9,1.9,1.7,1.2,0.92,Destacado
Jerusalem,Ciudad Bolívar,1,27343,71.6,-5.6,1.4,1.8,0.8,0.81,Destacado
La Sabana,Mártires,3,29839,49.2,-7.3,-0.3,3.3,-1.3,0.76,Sobre el promedio de Bogotá
La Candelaria,Candelaria,2.6,25234,64.9,-5.1,2.3,0.7,1.2,0.73,Sobre el promedio de Bogotá
Verbenal,Usaquén,2.9,46213,51.9,-5.3,1.6,1,2.4,0.63,Sobre el promedio de Bogotá
La Alhambra,Suba,5,27489,20.9,-5.4,1.3,1.2,0.9,0.59,Sobre el promedio de Bogotá
Tibabuyes,Suba,2.2,113816,61,-4.9,2.1,0.3,2.5,0.56,Sobre el promedio de Bogotá
Engativa,Engativá,2,46073,58.1,-6.3,0.6,1.6,0.6,0.53,Sobre el promedio de Bogotá
Fontibon San Pablo,Fontibon,2.5,13643,63.8,-4.8,2.4,-0.1,2.7,0.51,Sobre el promedio de Bogotá
Los Libertadores,San Cristóbal,1.7,29283,73.6,-6,1.3,0.9,2,0.51,Sobre el promedio de Bogotá
Diana Turbay,Rafael Uribe Uribe,1.9,26705,70.6,-6,1.3,0.8,1.8,0.48,Sobre el promedio de Bogotá
Ismael Perdomo,Ciudad Bolívar,1.8,73076,68.9,-6.2,1.1,0.8,0.5,0.42,Sobre el promedio de Bogotá
El Rincon,Suba,2.3,115003,58.3,-5.4,1.5,0.2,1.6,0.37,Sobre el promedio de Bogotá
Comuneros,Usme,1.6,43824,72.3,-6.1,1.2,0.5,-0.2,0.35,Sobre el promedio de Bogotá
